"","de","en","es","fr","it","pt","ru","es-MX","pt-PT"
"COL.06-1.06","","But I had 
to be strong","","","","","","","",
"COL.06-1.07","","At the end I made it. 
I made Klaus. 
I made myself. It was scary. 
He was cocky, insecure and inexpert, like me. 
He still needed to learn
He had to be better than me","","","","","","","",
"COL.06-1.08","","She wasn't
here anymore","","","","","","","",
"COL.06-1.09","","I fell apart
I was alone","","","","","","","",
"COL.06-1.10","","I made klaus","","","","","","","",
"COL.06-1.11","","But I found someone there","","","","","","","",
"COL.06-1.12","","Someone that I thought was unique","","","","","","","",
"COL.06-1.13","","I didn’t have time 
to teach him to be what I'm not
I created a system to teach him and hired 
a QA guy","","","","","","","",
"COL.06-2.01","","KLAUS
REMEMBERS
EVERYTHING","","","","","","","",
"COL.06-2.02","","DON'T BE SHY. GO TO THE ROOFTOP","","","","","","","",
"CP-01","","LEFT","","","","","","","",
"CP-02","","BROTHER","","","","","","","",
"CP-03","","HAPPINESS","","","","","","","",
"CP-04","","LEARN","","","","","","","",
"CP-05","","AVERAGE","","","","","","","",
"CP-06","","EXPERIENCE","","","","","","","",
"CP-07","","LOST","","","","","","","",
"CP-08","","OVERCOME","","","","","","","",
"CP-09","","WORK","","","","","","","",
"CP-10","","ACCIDENT","","","","","","","",
"CP-11","","DECISION","","","","","","","",
"CP-12","","OBSERVED","","","","","","","",
"CP-13","","LOVE","","","","","","","",
"CP-14","","TEAMWORK","","","","","","","",
"CP-15","","ROUTINE","","","","","","","",
"CP-16","","SHOWTIME","","","","","","","",
"CP-17","","DECEPTION","","","","","","","",
"CP-18","","deserted","","","","","","","",
"CP-19","","work 2","","","","","","","",
"CP-20","","expectation","","","","","","","",
"CP-21","","success","","","","","","","",
"CP-22","","routine","","","","","","","",
"CP-23","","isolation","","","","","","","",
"CP-24","","intelligent","","","","","","","",
"CP-25","","work 3","","","","","","","",
"CP-26","","isolation","","","","","","","",
"CP-27","","expectation 2","","","","","","","",
"CP-28","","rage","","","","","","","",
"CP-29","","loneliness","","","","","","","",
"CP-30","","despair","","","","","","","",
"CP-31","","memories","","","","","","","",
"CP-32","","my-other-self","","","","","","","",
"CP-33","","systems","","","","","","","",
"CP-34","","self-recognition","","","","","","","",
"CP-35","","who?","","","","","","","",
"CR-01","","The end","","","","","","","",
"CR-02","","now I know more about myself","","","","","","","",
"CR-03","","everytime that I come back I feel dizzy","","","","","","","",
"CR-04","","Now it's making sense","","","","","","","",
"CR-05","","One piece more","","","","","","","",
"CW1.L01.01","","SO MANY QUESTIONS","","","","","","","",
"CW1.L01.02","","NO ANSWERS","","","","","","","",
"CW1.L01.03","","there is so much to discover","","","","","","","",
"CW1.L01.04","","knowledge is power","","","","","","","",
"CW1.L01.05","","feel","","","","","","","",
"CW1.L01.06","","THINK","","","","","","","",
"CW1.L01.07","","create","","","","","","","",
"CW1.L01.08","","DISCOVER","","","","","","","",
"CW1.L01.09","","EXPLORE","","","","","","","",
"CW1.L01.10","","FIND","","","","","","","",
"CW1.L01.11","","to see the wold","","","","","","","",
"CW1.L01.12","","NO RETURN","","","","","","","",
"CW1.L01.13","","IGNORANCE - IGNORANCE - IGNORANCE","","","","","","","",
"CW1.L01.14","","Knowledge","","","","","","","",
"CW1.L02.01","","FEAR TO DEATH - FEAR TO DEATH - FEAR TO DEATH - FEAR TO DEATH - FEAR TO DEATH - ","","","","","","","",
"CW1.L02.02","","touch me","","","","","","","",
"CW1.L02.03","","create me","","","","","","","",
"CW1.L02.04","","failure","","","","","","","",
"CW1.L02.05","","PROGRESS","","","","","","","",
"CW1.L02.06","","FEAR TO FAIL - FEAR TO FAIL - FEAR TO FAIL - FEAR TO FAIL - FEAR TO FAIL - ","","","","","","","",
"CW1.L02.07","","success","","","","","","","",
"CW1.L02.08","","CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - CONFORMISM - ","","","","","","","",
"CW1.L02.09","","IDEAS","","","","","","","",
"CW1.L02.10","","SAVE PEOPLE","","","","","","","",
"CW1.L02.11","","Innovate","","","","","","","",
"CW1.L02.12","","You're the only one who can do it","","","","","","","",
"CW1.L02.13","","You're the one!","","","","","","","",
"CW1.L03.01","","TO SEE BEYOND","","","","","","","",
"CW1.L03.02","","trust your vision","","","","","","","",
"CW1.L03.03","","Insecurity","","","","","","","",
"CW1.L03.04","","Never look back","","","","","","","",
"CW1.L03.040","","To see behind the walls","","","","","","","",
"Dummy.Help","","Help","","","","","","","",
"Dummy.Language","","English","","","","","","","",
"EndQuote01.01","","There's something in there, but I'm not afraid","","","","","","","",
"EndQuote01.02","","We are not alone","","","","","","","",
"EndQuote01.03","","The girl was a lie, we have to make them pay","","","","","","","",
"EndQuote01.04","","I have to be in frame to be alive, yeap, I'm that kind of guy","","","","","","","",
"EndQuote01.05","","He might be laughing but this is not a joke","","","","","","","",
"EndQuote01.06","","That big guy is on the next door, be prepared","","","","","","","",
"EndQuote02.01","","That yellow fabric, what was it doing over there?","","","","","","","",
"EndQuote02.02","","Maybe K1 knows who he is and can give us clues","","","","","","","",
"EndQuote02.03","","SHIRTS AND TIES everywhere. So this means that my fancy clothes are just an uniform?","","","","","","","",
"EndQuote02.04","","Something stinks, are we close to a garbage dump?","","","","","","","",
"EndQuote02.05","","K1 is ready for challenge","","","","","","","",
"EndQuote02.06","","Now I now some of the truth","","","","","","","",
"EndQuote03.01","","I just want to be alone and not be quoted at the end of each chapter","","","","","","","",
"EndQuote03.02","","We're separated once again","","","","","","","",
"EndQuote03.03","","I got enough, I will not tolerate your manipulations anymore. You're one of them","","","","","","","",
"EndQuote03.04","","This strategy didn't work but this will not be the end of it, don't forget that","","","","","","","",
"EndQuote03.05","","I miss K1, where is he?","","","","","","","",
"EndQuote03.06","","So.. That's the big boss","","","","","","","",
"EndQuote04.01","","I feel attracted  to the energy in here","","","","","","","",
"EndQuote04.02","","This place has a great vibe! I LOVE IT!","","","","","","","",
"EndQuote04.03","","I still feel the anxiety for the sparks. But where's the guy with the moustache? Is he still alive?","","","","","","","",
"EndQuote04.04","","I'M FREE AND YOU CAN'T DO ANYTHING ABOUT IT","","","","","","","",
"EndQuote04.05","","The light. Is here, in the next room!","","","","","","","",
"EndQuote04.06","","K1 likes sushi but we have to save Klaus","","","","","","","",
"EndQuote05.01","","I did it so bad, this is my opportunity to amend my mistakes","","","","","","","",
"EndQuote05.02","","Let's see the world clash","","","","","","","",
"EndQuote05.03","","I feel like a System.Point.Null.Exception, literary!","","","","","","","",
"EndQuote05.04","","Call me crazy, but I love being killed in this world","","","","","","","",
"EndQuote05.05","","I'm just a variable in this world... AND I LOVE IT","","","","","","","",
"EndQuote05.06","","We got the script","","","","","","","",
"EndQuote06.01","","The power of the sun is amazing","","","","","","","",
"EndQuote06.02","","I'm good with myself now. I learned how to live with the weight of existence","","","","","","","",
"EndQuote06.03","","The day is over, the night is just starting","","","","","","","",
"EndQuote06.04","","I can see the sun, lighting everything again","","","","","","","",
"EndQuote06.05","","THE SUNRISE is coming","","","","","","","",
"EndQuote06.06","","THE END?","","","","","","","",
"LName01.01","","THE UNKNOWN MAN","","","","","","","",
"LName01.02","","I OWE YOU MY LIFE","","","","","","","",
"LName01.03","","GIRL IN TROUBLE","","","","","","","",
"LName01.04","","ON FRAME","","","","","","","",
"LName01.05","","MARATHON MAN","","","","","","","",
"LName01.06","","THE OTHER MAN","","","","","","","",
"LName02.01","","WE HAVE COMPANY","","","","","","","",
"LName02.02","","BOUNCING FOR MY LIFE","","","","","","","",
"LName02.03","","AIR CONTROL","","","","","","","",
"LName02.04","","ACID ROCK","","","","","","","",
"LName02.05","","NOT JUST A REGULAR FACTORY","","","","","","","",
"LName02.06","","I'M THE OTHER","","","","","","","",
"LName03.01","","EFFICIENCY","","","","","","","",
"LName03.02","","CAFFEINE","","","","","","","",
"LName03.03","","DRAMA QUEEN","","","","","","","",
"LName03.04","","WRONG WAY","","","","","","","",
"LName03.05","","THAT GUY","","","","","","","",
"LName03.06","","THE BOSS","","","","","","","",
"LName04.01","","THE LIGHT IS CALLING ME","","","","","","","",
"LName04.02","","BAD MEMORIES","","","","","","","",
"LName04.03","","IS INSIDE OF ME","","","","","","","",
"LName04.04","","LET IT HAPPEN","","","","","","","",
"LName04.05","","FREEDOM","","","","","","","",
"LName04.06","","THE BIG GUY","","","","","","","",
"LName05.01","","PEOPLE ARE STRANGE","","","","","","","",
"LName05.02","","SO CLOSE, SO FAR","","","","","","","",
"LName05.03","","BACKDOOR MAN","","","","","","","",
"LName05.04","","OVER MY DEAD BODY","","","","","","","",
"LName05.05","","BREAKING THE LAW","","","","","","","",
"LName05.06","","SCRIPTING","","","","","","","",
"LName06.01","","THE MIDDAY","","","","","","","",
"LName06.02","","THE SUNSET","","","","","","","",
"LName06.03","","THE SUNSET 2","","","","","","","",
"LName06.04","","THE NIGHT","","","","","","","",
"LName06.05","","THE SUNRISE","","","","","","","",
"LName06.06","","THE END?","","","","","","","",
"Misc02","","According to my records this is room <ROOM>, section <SECTION> of the <WORLD>","","","","","","","",
"tut.01","","HOLD X TO JUMP HIGHER","","","","","","","",
"tut.02","","HOLD CIRCLE TO HACK","","","","","","","",
"tut.03","","HOLD X ON YOUR SECOND JUMP TO JUMP HIGHER","","","","","","","",
"tut.04","","USE YOUR CLOSEST THUMB TO SWIPE OVER THE PLATFORM TO SELECT IT","","","","","","","",
"tut.05","","KLAUS CAN ATTACH TO THE ELECTRIC WALLS","","","","","","","",
"tut.06","","PRESS UP TO ATTACH GRAB THE LADDER","","","","","","","",
"tut.07","","SELECT THE PLATFORM","","","","","","","",
"tut.08","","ONCE THAT THE PLATFORM IS SELECTED, YOU DON'T NEED TO TOUCH IT ANYMORE","","","","","","","",
"tut.09","","ONCE THAT THE PLATFORM IS SELECTED, YOU DON'T NEED TO TOUCH IT ANYMORE","","","","","","","",
"tut.10","","LOOK","","","","","","","",
"tut.11","","HOLD CIRCLE","","","","","","","",
"tut.12","","ROTATE LS","","","","","","","",
"tut.13","","RELEASE CIRCLE","","","","","","","",
"tut.14","","CHAPTER","","","","","","","",
"tut.15","","EVEL-MIND","","","","","","","",
"tut.16","","I'm in the + NUMBER OF WORLD+ level +NUMBER level+ section+NUMBER OF SECTION","","","","","","","",
"UI.BackButton","","<sprite=Circle> BACK","","","","","","","",
"UI.Continue","","CONTINUE","","","","","","","",
"UI.Controls.PS4.Circle","","Throw -Klaus-","","","","","","","",
"UI.Controls.PS4.DPad","","Move Camera","","","","","","","",
"UI.Controls.PS4.L1","","[L1] Run","","","","","","","",
"UI.Controls.PS4.LeftStick","","Move Character","","","","","","","",
"UI.Controls.PS4.Options","","Pause","","","","","","","",
"UI.Controls.PS4.R1","","[R1] Glide -K1-","","","","","","","",
"UI.Controls.PS4.RightStick","","MovePlatform","","","","","","","",
"UI.Controls.PS4.Square","","Hack / Punch","","","","","","","",
"UI.Controls.PS4.Touchpad","","Select Platforms","","","","","","","",
"UI.Controls.PS4.Triangle","","Switch Character","","","","","","","",
"UI.Controls.PS4.X","","Jump","","","","","","","",
"UI.Disclaimmer.Text","","THIS EXPERIENCE USES THE DOUALSHOCK 4 TOUCHPAD","","","","","","","",
"UI.EnterButton","","<sprite=X> ENTER","","","","","","","",
"UI.HelpAndOptions","","HELP & OPTIONS","","","","","","","",
"UI.HUD.CurrentRecordText","","BEST:","","","","","","","",
"UI.HUD.CurrentTimeText","","TIME:","","","","","","","",
"UI.HUD.LevelName.Chapter","","CHAPTER","","","","","","","",
"UI.HUD.NewRecordText","","NEW RECORD!","","","","","","","",
"UI.Leaderboards","","LEADERBOARDS","","","","","","","",
"UI.Leaderboards.AllTimeScores","","<sprite=Triangle> ALL-TIME","","","","","","","",
"UI.Leaderboards.ChangeLevel","","<sprite=L1> <sprite=R1> CHANGE LEVEL","","","","","","","",
"UI.Leaderboards.ChangeWorld","","<sprite=L2> <sprite=R2> CHANGE WORLD","","","","","","","",
"UI.Leaderboards.FriendsScores","","<sprite=Triangle> FRIENDS","","","","","","","",
"UI.LevelCompleted.ContinueButton","","PRESS <sprite=X> TO CONTINUE","","","","","","","",
"UI.LevelCompleted.Title1","","LEVEL","","","","","","","",
"UI.LevelCompleted.Title2","","COMPLETED","","","","","","","",
"UI.MainMenu.ArcadeMode","","ARCADE MODE","","","","","","","",
"UI.MainMenu.ArcadeMode.BackButton","","<sprite=CircleYellow> BACK","","","","","","","",
"UI.MainMenu.ArcadeMode.EnterButton","","<sprite=XYellow> ENTER","","","","","","","",
"UI.MainMenu.ArcadeMode.Leaderboards.AllTimeScores","","<sprite=TriangleYellow> ALL-TIME","","","","","","","",
"UI.MainMenu.ArcadeMode.Leaderboards.ChangeLevel","","<sprite=L1Yellow> <sprite=R1Yellow> CHANGE LEVEL","","","","","","","",
"UI.MainMenu.ArcadeMode.Leaderboards.ChangeWorld","","<sprite=L2Yellow> <sprite=R2Yellow> CHANGE WORLD","","","","","","","",
"UI.MainMenu.ArcadeMode.Leaderboards.FriendsScores","","<sprite=TriangleYellow> FRIENDS","","","","","","","",
"UI.MainMenu.ArcadeMode.LeaderboardsButton","","<sprite=TriangleYellow> LEADERBOARDS","","","","","","","",
"UI.MainMenu.ArcadeMode.StoryMode","","STORY MODE","","","","","","","",
"UI.MainMenu.ArcadeMode.StoryModeInfo","","Play the story of the game. The game will not finish unless you select it in the menu. You can read what Klaus is thinking and get the MEMORIES of Klaus.","","","","","","","",
"UI.MainMenu.ArcadeMode.TimeAttackMode","","TIME ATTACK MODE","","","","","","","",
"UI.MainMenu.ArcadeMode.TimeAttackModeInfo","","Beat the best record of the company to be the Employee of the Day! Upload your records to global leaderboards. It doesn't include text or collectibles.","","","","","","","",
"UI.MainMenu.ContinueGame","","CONTINUE","","","","","","","",
"UI.MainMenu.Extras","","EXTRAS","","","","","","","",
"UI.MainMenu.Extras.Credits","","CREDITS","","","","","","","",
"UI.MainMenu.Extras.LaunchTrailer","","LAUNCH TRAILER","","","","","","","",
"UI.MainMenu.Extras.Memories","","MEMORIES","","","","","","","",
"UI.MainMenu.Extras.Statistics","","STATISTICS","","","","","","","",
"UI.MainMenu.Extras.Statistics.Extras","","MEMORIES/EXTRAS","","","","","","","",
"UI.MainMenu.Extras.Statistics.Speedrun","","SPEEDRUN","","","","","","","",
"UI.MainMenu.Extras.Statistics.StoryProgress","","STORY","","","","","","","",
"UI.MainMenu.Extras.Statistics.TimeAttack","","TIME ATTACK","","","","","","","",
"UI.MainMenu.Extras.Statistics.TotalDeaths","","TOTAL DEATHS","","","","","","","",
"UI.MainMenu.Extras.Statistics.TotalProgress","","TOTAL PROGRESS","","","","","","","",
"UI.MainMenu.Extras.Statistics.TotalTimePlayed","","TOTAL PLAYED","","","","","","","",
"UI.MainMenu.Extras.TeaserTrailer","","TEASER TRAILER","","","","","","","",
"UI.MainMenu.NewGame","","NEW GAME","","","","","","","",
"UI.MainMenu.NewGame.Title1","","Are you sure you want to START a NEW GAME?","","","","","","","",
"UI.MainMenu.NewGame.Title2","","Your existing game will be Lost","","","","","","","",
"UI.MainMenu.Options","","OPTIONS","","","","","","","",
"UI.MainMenu.RestoreDefaults","","<sprite=Triangle> RESTORE DEFAULT","","","","","","","",
"UI.MainMenu.StartButton","","PRESS <sprite=X> TO START","","","","","","","",
"UI.NoButton","","NO","","","","","","","",
"UI.Options.Controls","","CONTROLS","","","","","","","",
"UI.Options.Music","","MUSIC","","","","","","","",
"UI.Options.SFX","","SFX","","","","","","","",
"UI.Options.Vibration","","VIBRATION","","","","","","","",
"UI.Pause","","PAUSE","","","","","","","",
"UI.Pause.Exit","","EXIT GAME","","","","","","","",
"UI.Pause.ExitConfirmation","","Are you sure you want to exit?","","","","","","","",
"UI.Pause.GenericWorldName","","Where am I supposed to be?","","","","","","","",
"UI.Pause.Restart","","RESTART LEVEL","","","","","","","",
"UI.Pause.Resume","","RESUME","","","","","","","",
"UI.YesButton","","YES","","","","","","","",
"W1Boss.01","","K1","","","","","","","",
"W1Boss.02","","King of the Underground Level","","","","","","","",
"W1L01-1.01","","What a headache","","","","","","","",
"W1L01-1.02","","This's
So... RED","","","","","","","",
"W1L01-1.03","","That's pretty
self explanatory","","","","","","","",
"W1L01-1.04","","Once more","","","","","","","",
"W1L01-1.05","","done!","","","","","","","",
"W1L01-1.06","","again","","","","","","","",
"W1L01-1.07","","I remember this","","","","","","","",
"W1L01-1.08","","Is somebody here?","","","","","","","",
"W1L01-1.09","","Anyone?","","","","","","","",
"W1L01-1.10","","somebody needs
to touch this gear","","","","","","","",
"W1L01-1.11","","wow, who did that?","","","","","","","",
"W1L01-1.12","","Who touched that?","","","","","","","",
"W1L01-1.13","","This one needs to be moved","","","","","","","",
"W1L01-1.14","","Did you move it?","","","","","","","",
"W1L01-1.15","","again? wow, this is really creepy","","","","","","","",
"W1L01-1.16","","who are you?","","","","","","","",
"W1L01-1.17","","I got it, you are a silent guy","","","","","","","",
"W1L01-1.18","","I can jump
through these","","","","","","","",
"W1L01-1.19","","that circular arrow seems like...","","","","","","","",
"W1L01-1.20","","...seems like
a CHECKPOINT!","","","","","","","",
"W1L01-1.21","","So that's how it feels
having a saving point in life","","","","","","","",
"W1L01-1.22","","what kind of basement has spikes?","","","","","","","",
"W1L01-1.23","","Do they know that is dangerous?","","","","","","","",
"W1L01-1.24","","I will call the manager","","","","","","","",
"W1L01-1.25","","So... Running","","","","","","","",
"W1L01-1.26","","cool!","","","","","","","",
"W1L01-1.27","","I wish I could see beyond my eyes","","","","","","","",
"W1L01-1.28","","you have a good eye","","","","","","","",
"W1L01-1.29","","there's no turning back","","","","","","","",
"W1L01-1.30","","Can you help me
with this one?","","","","","","","",
"W1L01-1.31","","thanks","","","","","","","",
"W1L01-1.32","","The good thing about machines is...","","","","","","","",
"W1L01-1.33","","...that you order...","","","","","","","",
"W1L01-1.34","","...and they obey","","","","","","","",
"W1L01-1.35","","I can see something","","","","","","","",
"W1L01-1.36","","finally!!!","","","","","","","",
"W1L01-1.37","","an exit!","","","","","","","",
"W1L01-1.38","","I can go through these","","","","","","","",
"W1L01-2.01","","boxes and files...","","","","","","","",
"W1L01-2.02","","...some people work in this area","","","","","","","",
"W1L01-2.03","","Do they still do it?","","","","","","","",
"W1L01-2.04","","It's weird","","","","","","","",
"W1L01-2.05","","Because I still remember","","","","","","","",
"W1L01-2.06","","Like hacking","","","","","","","",
"W1L01-2.07","","WOW, SECRET!","","","","","","","",
"W1L01-2.08","","JUMPING...","","","","","","","",
"W1L01-2.09","","Jumping is all about
timing, my friend","","","","","","","",
"W1L01-2.10","","...Not too long, not too short...","","","","","","","",
"W1L01-2.11","","...or sometimes","","","","","","","",
"W1L01-2.12","","ANOTHER DOOR, ANOTHER EXIT","","","","","","","",
"W1L01-3.01","","that's a little bit far","","","","","","","",
"W1L01-3.02","","","","","","","","","",
"W1L01-3.03","","so, you exist","","","","","","","",
"W1L01-3.04","","who are you?","","","","","","","",
"W1L01-3.05","","????","","","","","","","",
"W1L01-3.06","","What was that?","","","","","","","",
"W1L02-1.01","","That was scary","","","","","","","",
"W1L02-1.02","","Am I afraid?","","","","","","","",
"W1L02-1.03","","Nah, I'm shaking with joy","","","","","","","",
"W1L02-1.04","","yeah... joy of...","","","","","","","",
"W1L02-1.05","","of... having a new friend","","","","","","","",
"W1L02-1.06","","where're my manners?","","","","","","","",
"W1L02-1.07","","Hi man","","","","","","","",
"W1L02-1.08","","This place is so...","","","","","","","",
"W1L02-1.09","","Sorry
Maybe you're not a man","","","","","","","",
"W1L02-1.10","","unicolor","","","","","","","",
"W1L02-1.11","","I like the decoration","","","","","","","",
"W1L02-1.12","","But there's too much red for me","","","","","","","",
"W1L02-1.13","","Don’t get me wrong","","","","","","","",
"W1L02-1.14","","I can go through
these if I crouch and Jump","","","","","","","",
"W1L02-1.15","","makes total sense,
right?","","","","","","","",
"W1L02-1.16","","I wanted to say","","","","","","","",
"W1L02-1.17","","Thank you","","","","","","","",
"W1L02-1.18","","to you,
whoever controls this","","","","","","","",
"W1L02-1.19","","without you","","","","","","","",
"W1L02-1.20","","I would be dead","","","","","","","",
"W1L02-2.01","","Sometimes I ask myself","","","","","","","",
"W1L02-2.02","","Are we alone?","","","","","","","",
"W1L02-2.03","","We might be","","","","","","","",
"W1L02-2.04","","in that case","","","","","","","",
"W1L02-2.05","","I will not have
someone to speak with","","","","","","","",
"W1L02-2.06","","You're cool
and all","","","","","","","",
"W1L02-2.07","","But you're too silent","","","","","","","",
"W1L02-2.08","","I want to have
stimulating conversations","","","","","","","",
"W1L02-2.09","","I want to know
more about myself","","","","","","","",
"W1L02-2.10","","and you know yourself
when you talk with other people","","","","","","","",
"W1L02-2.11","","However, it's weird...","","","","","","","",
"W1L02-2.12","","even if you can't talk","","","","","","","",
"W1L02-2.13","","You're helping me","","","","","","","",
"W1L02-2.14","","and that's a way of communication","","","","","","","",
"W1L02-2.15","","you care","","","","","","","",
"W1L02-2.16","","I appreciate that...","","","","","","","",
"W1L02-2.17","","...you caring","","","","","","","",
"W1L02-2.18","","!","","","","","","","",
"W1L02-2.19","","Those footsteps","","","","","","","",
"W1L02-2.20","","Something is up for sure","","","","","","","",
"W1L02-2.21","","We're not alone","","","","","","","",
"W1L02-2.22","","Where is this going?","","","","","","","",
"W1L02-2.23","","Another one of these","","","","","","","",
"W1L02-3.01","","move the gears","","","","","","","",
"W1L02-3.02","","Do your magic","","","","","","","",
"W1L02-3.03","","and throw the key","","","","","","","",
"W1L02-3.04","","team work!","","","","","","","",
"W1L02-3.05","","!","","","","","","","",
"W1L02-3.06","","There's some one in trouble!","","","","","","","",
"W1L03-1.01","","We have to save her!","","","","","","","",
"W1L03-1.02","","You heard that, right?","","","","","","","",
"W1L03-1.03","","We have a damsel in distress","","","","","","","",
"W1L03-1.04","","HURRY!","","","","","","","",
"W1L03-1.05","","This place is stressing me out","","","","","","","",
"W1L03-1.06","","I will relax a little bit","","","","","","","",
"W1L03-1.07","","who works here?","","","","","","","",
"W1L03-1.08","","what do they produce?","","","","","","","",
"W1L03-1.09","","so many questions","","","","","","","",
"W1L03-1.10","","too few answers","","","","","","","",
